row ID,row m/z,row retention time,intensity_measure,ion_mobility,ion_mobility_unit,ccs,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,20260428_CVOL_Group_01_11A.mzML Peak area,20260428_CVOL_Group_01_11B.mzML Peak area,20260428_CVOL_Group_01_11C.mzML Peak area,20260428_CVOL_Group_01_11D.mzML Peak area,20260428_CVOL_Group_01_4A.mzML Peak area,20260428_CVOL_Group_01_4B.mzML Peak area,20260428_CVOL_Group_01_4C.mzML Peak area,20260428_CVOL_Group_01_4D.mzML Peak area,20260428_CVOL_Group_01_8A.mzML Peak area,20260428_CVOL_Group_01_8B.mzML Peak area,20260428_CVOL_Group_01_8C.mzML Peak area,20260428_CVOL_Group_01_8D.mzML Peak area,20260428_CVOL_Group_01_QC_01.mzML Peak area,20260428_CVOL_Group_01_QC_02.mzML Peak area,20260428_CVOL_Group_01_QC_03.mzML Peak area,20260428_CVOL_Group_01_QC_04.mzML Peak area,20260428_CVOL_Group_01_QC_05.mzML Peak area,20260428_CVOL_Group_01_QC_06.mzML Peak area,20260428_CVOL_Group_01_WT_A.mzML Peak area,20260428_CVOL_Group_01_WT_B.mzML Peak area,20260428_CVOL_Group_01_WT_C.mzML Peak area,20260428_CVOL_Group_01_WT_D.mzML Peak area,20260428_CVOL_Group_01_blank.mzML Peak area,Unnamed: 36
11,850.2514145348215,0.47134376,height,,,,,,,,,,,989740.44,1251401.9,1081327.9,1038482.7,1360468.1,913298.25,1181807.1,1010535.44,982284.5,1081342.5,1214149.8,1166707.6,2700546.5,2669975.0,2490489.5,3020156.0,2976249.0,2323468.5,834463.8,1107917.1,1051617.9,883737.0,980116.2,
12,197.0808673353696,0.47501713,height,,,,,,,,,,,427771.8,398223.06,544050.75,587940.94,1927630.4,1695144.5,1570686.9,2005733.9,585506.06,408760.0,0.0,573510.75,1060909.5,1098707.9,1289689.6,1378121.9,1273754.9,1178321.6,442460.66,569774.0,524472.06,0.0,0.0,
13,760.5865524073291,0.4701272,height,,,,,,,,,,,0.0,0.0,0.0,0.0,8494614.0,5549827.5,3624249.2,6372659.5,0.0,0.0,0.0,0.0,1800770.2,1824604.2,2017120.0,1913270.1,2089172.4,1757426.6,0.0,0.0,0.0,0.0,0.0,
14,508.5358318731416,0.47748595,height,,,,,,,,,,,3302193.0,4384954.5,5036769.0,4812290.5,5022746.0,5146712.0,6328009.5,4907935.0,6897532.5,3320854.8,4826659.5,4742522.0,6704737.0,5320332.0,5051041.0,6829249.5,6676535.5,6251072.5,4717842.5,4150141.8,6104672.5,3931758.8,4563938.5,
15,506.5293037198901,0.47891578,height,,,,,,,,,,,52974884.0,65923292.0,76155790.0,67971490.0,68053464.0,69638490.0,75069340.0,69394390.0,95089790.0,51052556.0,59445100.0,72940660.0,84527460.0,83249060.0,77783510.0,100813130.0,101414900.0,94417430.0,63876812.0,58399748.0,81339570.0,51223676.0,58115210.0,
16,480.51495074782815,0.4812256,height,,,,,,,,,,,1059579.4,1506919.9,1670218.0,1354735.2,2053516.2,1779352.8,0.0,1597196.1,3051938.5,1170453.2,1356737.6,1498953.4,1773121.4,1779998.8,1661183.1,2256346.5,2281341.5,2081227.2,1348271.0,654335.3,1619121.8,1163936.8,1264830.6,
17,670.4679577351507,0.48036534,height,,,,,,,,,,,1650461.0,1518692.0,2581993.0,2919938.5,2730580.8,2377044.8,1824548.0,2944019.0,3868246.0,1601798.4,1726548.6,1146287.2,2764874.2,2500802.5,2230342.2,2958863.0,3207110.0,2920520.8,2259514.8,2330984.0,2465034.8,1688273.9,640254.56,
18,1142.8257733016922,0.48102048,height,,,,,,,,,,,509340.44,849012.56,1657795.4,1941880.4,828056.9,1228618.4,1168403.8,1319553.0,2776391.5,861004.7,827411.44,839565.0,1213218.9,1172151.9,932600.3,1537892.2,1426287.2,1281351.2,599304.56,602280.2,913175.44,581817.75,519595.06,
19,478.4985802829702,0.48251522,height,,,,,,,,,,,7165677.0,7029235.0,8243540.5,7192680.0,6137537.0,6765516.5,5487903.0,6995847.0,9051176.0,6213643.5,6646753.0,7831392.5,9436403.0,8449440.0,7549404.5,9890373.0,10282225.0,9710515.0,8034353.0,10951737.0,8726994.0,5243828.0,7824701.5,
20,502.4990660983268,0.48251522,height,,,,,,,,,,,17524806.0,16888328.0,19456734.0,17137836.0,15381418.0,16081107.0,14309675.0,18399690.0,21097250.0,14604022.0,16693465.0,18376354.0,22541154.0,20255542.0,17847412.0,23309368.0,24543604.0,22797690.0,19557876.0,27539864.0,21417144.0,13139387.0,22160292.0,
21,504.5143756407451,0.48251522,height,,,,,,,,,,,78523750.0,79852370.0,95963290.0,81661816.0,76878264.0,80688980.0,66621390.0,83587304.0,102566180.0,67000732.0,76611490.0,89092310.0,108026696.0,100320080.0,89903200.0,116702730.0,121478160.0,115266910.0,89466430.0,118769976.0,104220970.0,61706828.0,96811224.0,
22,520.5093133493107,0.48294303,height,,,,,,,,,,,6522054.5,4342847.5,5514936.5,6113031.0,8568876.0,6989505.5,4520736.5,6807850.5,6202847.5,3593391.2,6894426.5,4714806.0,8157658.0,7188287.5,6351416.0,8193436.0,9113913.0,8438615.0,6969006.0,10254696.0,6747410.5,5012189.0,6476424.0,
23,503.5023799306841,0.48303318,height,,,,,,,,,,,6578797.5,6565054.5,7031281.5,6402424.5,5941557.0,5981553.5,4984331.0,6490569.5,7717588.0,5314100.5,5998613.0,6762567.5,7979620.5,7348764.0,6642351.5,8326009.0,9044882.0,8571139.0,7852899.5,9854137.0,7993650.5,4922539.0,7909125.0,
24,500.4833539986467,0.48602277,height,,,,,,,,,,,2011717.1,1877465.6,2102362.2,1862304.2,1970585.9,1893664.1,1687319.2,2117682.8,2210075.8,1605772.5,1891419.5,2098042.5,2713875.5,2081219.8,2113281.8,2467545.2,2736389.2,2597761.2,2145444.5,3021853.2,2512571.2,1459308.4,2244825.2,
25,424.4512637527176,0.4877205,height,,,,,,,,,,,3804320.8,3748913.8,4590219.0,4401259.0,3442108.2,3796926.8,3204075.2,3963216.8,5335829.0,2884420.0,3754505.5,4358999.0,5431118.5,4060676.2,4315908.5,5300429.0,5605390.5,5480229.0,5059599.0,5029897.0,4951627.0,3431160.0,6040346.5,
26,654.3324356579716,0.48810425,height,,,,,,,,,,,18755110.0,20257984.0,43745350.0,44511604.0,26752890.0,37148296.0,35009280.0,35926944.0,53626532.0,31287902.0,24126426.0,22916502.0,34467732.0,27301064.0,27949432.0,35535944.0,34751020.0,32266864.0,13749912.0,18360564.0,21428034.0,14625900.0,10913347.0,
27,637.3055382519669,0.48893395,height,,,,,,,,,,,6536834.0,7726695.0,17048892.0,16089717.0,10112325.0,13789626.0,12663976.0,13899980.0,20984230.0,12102002.0,9170309.0,9117536.0,13501251.0,10855362.0,10702884.0,14276403.0,13086448.0,13032280.0,5718511.5,6719672.0,8291293.5,5624369.0,4115252.2,
28,396.4199156428441,0.48898605,height,,,,,,,,,,,2189079.8,1976199.6,2062204.2,1871753.0,1560122.9,1972560.4,1565321.9,1932547.4,2398655.2,1484736.8,1900164.6,2115626.5,2707726.5,2002643.5,1991083.8,2424639.2,2182136.5,2586370.5,2539272.2,2621992.2,2485008.0,1344949.2,2893327.0,
29,368.3887122589519,0.4898228,height,,,,,,,,,,,2616467.2,2432837.5,2488414.2,2330617.0,2077147.4,2167949.5,1953749.4,2250129.5,2555504.5,1771508.5,2364439.0,2487897.5,3006979.2,2252999.5,2386107.0,2848037.8,2906751.8,2905563.0,2990288.0,3250468.0,2860145.8,1702268.2,3289072.0,
30,548.300934547647,0.48985967,height,,,,,,,,,,,2945033.0,2789603.8,6309309.0,5729602.5,5036859.0,6008933.5,4921428.0,6263154.5,7516382.5,3370356.0,4103783.5,2099075.0,5320953.5,4099059.5,4487404.0,5352574.5,5597500.5,5265679.5,4265298.0,2334156.0,3916807.8,2785907.0,1724062.1,
31,425.3624805186801,0.49033463,height,,,,,,,,,,,11055395.0,8043631.0,8532985.0,7327154.0,3243233.0,3216327.0,3544754.0,3542026.0,3930439.5,11634707.0,9536471.0,11478760.0,12319892.0,10279021.0,9121316.0,11658615.0,10343498.0,11784632.0,21541844.0,20018308.0,17903844.0,9619025.0,0.0,
32,396.3837360269454,0.4906748,height,,,,,,,,,,,8699563.0,5240977.5,5940386.0,6292023.5,7035342.0,7453335.5,5752534.0,7723318.5,7212601.5,3635598.0,7986554.0,5965840.5,10159275.0,7848320.0,7856514.5,8759033.0,9057071.0,9342253.0,9089451.0,9563464.0,8477663.0,5942862.5,13056751.0,
33,531.2744384190124,0.4906927,height,,,,,,,,,,,4030882.0,3631624.8,8655356.0,8130222.0,6794847.5,7459243.0,6271756.0,8275058.0,10194559.0,4362192.0,5573700.5,2949318.2,7308102.0,5746213.5,6576261.0,6506578.0,7317063.5,7193122.5,5720112.5,3209937.2,4920986.0,3994977.0,2359088.0,
34,518.4933810024978,0.49108675,height,,,,,,,,,,,8833995.0,5429403.0,7175104.0,7733950.0,7371551.0,8070105.0,5962901.5,8329320.5,8802938.0,4105483.5,8699605.0,5961048.0,10515159.0,8146113.0,8506325.0,9495648.0,9852492.0,9969751.0,9761090.0,10826292.0,9067533.0,6141234.0,13409423.0,
35,534.4886961662395,0.49264577,height,,,,,,,,,,,2111845.8,1556003.9,1574690.2,2131213.8,2843427.2,2298697.5,1688503.0,2535986.8,2104150.2,1211256.1,2955720.8,1532782.9,2854011.0,2532388.0,2473957.8,2653192.5,2615207.2,2650472.0,2503396.8,2806095.0,2575347.5,1841815.0,3206869.8,
36,516.4778614424426,0.4926599,height,,,,,,,,,,,2566386.5,1354368.1,1783189.0,1816852.5,1685882.0,1852748.0,1416767.9,1910510.2,2083293.4,1187402.2,2086047.4,1585425.5,2554991.0,2386651.5,2268036.2,2251503.0,2291648.8,2379743.8,2174524.2,2539004.5,2212984.8,1579380.9,3322294.2,
37,505.517520029256,0.4824812,height,,,,,,,,,,,28792816.0,29440932.0,35268348.0,32454778.0,29678560.0,31703400.0,24498490.0,31441570.0,38814972.0,30033248.0,35051660.0,35291844.0,48818356.0,38701504.0,35674172.0,46170110.0,45627484.0,44274440.0,36074428.0,48381300.0,45644530.0,25197880.0,39721116.0,
38,368.4249066335505,0.49696064,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,557949.4,433353.28,480507.94,441878.2,1054009.1,387829.34,3072163.8,1055175.6,0.0,
39,918.5775015377652,0.49821144,height,,,,,,,,,,,3527609.5,4158671.2,9942812.0,8518216.0,3849651.0,7253464.5,6211660.0,5635613.0,10577859.0,6520529.0,4058986.0,4831218.5,7347132.0,5999505.5,6186734.0,5441200.5,7105722.0,5306723.0,2842879.8,4365361.5,4542427.0,3123460.5,2836573.0,
40,310.3103368132526,0.51177406,height,,,,,,,,,,,13093282.0,13895955.0,13651638.0,11583346.0,8384885.5,11283753.0,12415546.0,11686242.0,15368977.0,17903678.0,9299749.0,16956686.0,15400175.0,14750818.0,14982590.0,14905805.0,16159544.0,17212032.0,13849919.0,19031560.0,18388398.0,9996410.0,18567266.0,
41,283.2818188871933,0.5186251,height,,,,,,,,,,,212221490.0,225562610.0,194866080.0,172616880.0,129264170.0,159703470.0,200166640.0,157662850.0,214242320.0,231622220.0,118408400.0,231803860.0,207880720.0,201032050.0,190899360.0,210023600.0,232789340.0,215884560.0,190202820.0,261856740.0,244139860.0,144256050.0,255169660.0,
42,265.25275493598934,0.5166058,height,,,,,,,,,,,19176668.0,20527292.0,22022632.0,15699265.0,12889462.0,16972208.0,16337165.0,16177562.0,21243864.0,24466682.0,13409127.0,24506744.0,18383416.0,19145034.0,19722872.0,20497860.0,23459956.0,24290860.0,16813266.0,26609178.0,26608400.0,14927487.0,24332406.0,
43,563.5515826584541,0.51664484,height,,,,,,,,,,,10728667.0,13981799.0,12363565.0,10824210.0,5096091.5,10420403.0,9780969.0,7217422.0,13382240.0,12811526.0,6731266.0,16025193.0,11019881.0,10759037.0,12946985.0,12235371.0,13773505.0,15125995.0,11130183.0,15402086.0,18821954.0,8172597.0,16409135.0,
44,318.24032370236284,0.5194503,height,,,,,,,,,,,27166414.0,20846526.0,15109982.0,27909596.0,39017840.0,30735472.0,22146790.0,29720614.0,14115315.0,23231222.0,35291520.0,18343336.0,22708444.0,24584352.0,25606796.0,25614444.0,28015402.0,30078312.0,27822098.0,27025432.0,22811020.0,40202036.0,17081898.0,
45,324.2897156356009,0.52138865,height,,,,,,,,,,,6848469.0,4585108.5,3775749.2,7275366.5,12092265.0,7739769.0,5356528.5,7701866.5,3930621.5,5177164.5,10758761.0,3374466.0,6045554.5,6654281.5,7107818.0,7262594.0,7724722.0,8532684.0,6690158.0,7172234.0,5511966.5,10314003.0,4086000.0,
46,268.26365229191885,0.5230259,height,,,,,,,,,,,15138279.0,17813246.0,15826824.0,12682153.0,10891894.0,12155340.0,13286973.0,12461656.0,15757023.0,18221306.0,9584721.0,17863226.0,13633713.0,13456055.0,14430282.0,15746729.0,16765425.0,17413602.0,13640823.0,18820644.0,19176232.0,11433694.0,19213584.0,
47,256.26359913460385,0.5233963,height,,,,,,,,,,,69314270.0,71436310.0,65712948.0,59970532.0,67763370.0,61625710.0,59355990.0,60346660.0,63428492.0,76250570.0,58402910.0,72042170.0,64202620.0,66246730.0,69700190.0,71956024.0,75214030.0,79452580.0,63460268.0,76828550.0,79362184.0,64894004.0,80295740.0,
48,339.300643099469,0.5238077,height,,,,,,,,,,,16013423.0,10139843.0,8555520.0,14963992.0,27412712.0,17864564.0,11624383.0,16754896.0,10212876.0,12790828.0,22189570.0,9174826.0,14645124.0,15762414.0,16689778.0,17416726.0,18452666.0,19272734.0,12947186.0,17207094.0,12442822.0,22767460.0,10654058.0,
49,254.2480445824552,0.52459013,height,,,,,,,,,,,64802080.0,78360424.0,68024690.0,51506916.0,43109210.0,51655324.0,59770430.0,52575060.0,67970240.0,80053530.0,33857340.0,77623110.0,60355920.0,64638430.0,64138860.0,65820916.0,65981216.0,70958264.0,62401760.0,73956456.0,82427570.0,49470390.0,88492950.0,
50,299.27722341537674,0.52577484,height,,,,,,,,,,,16825360.0,10005254.0,8444770.0,17600466.0,30450892.0,21750826.0,17424388.0,19977844.0,9530050.0,12224979.0,28550028.0,10223572.0,15702825.0,17251640.0,17335670.0,17503092.0,17738522.0,19885114.0,17662552.0,16335195.0,12034394.0,27410146.0,10351831.0,
51,298.273764479676,0.5261587,height,,,,,,,,,,,86097016.0,53179304.0,42842440.0,91506584.0,154593070.0,107010984.0,70488130.0,96800770.0,44390892.0,60256020.0,141993710.0,43159308.0,76513550.0,91131300.0,89104060.0,86374890.0,92980550.0,98787270.0,86437130.0,80133900.0,57463330.0,140794910.0,51207450.0,
52,255.2513745790916,0.52464765,height,,,,,,,,,,,0.0,14085349.0,12354158.0,8563239.0,7202970.0,9117068.0,11995695.0,8641558.0,12003942.0,13516432.0,6475500.5,13503438.0,10310605.0,10185611.0,11631693.0,11231987.0,12009393.0,12275141.0,10141696.0,13485530.0,15121839.0,9036470.0,16674620.0,
53,257.2669056606351,0.52219296,height,,,,,,,,,,,13169788.0,12290326.0,12157390.0,11561443.0,11304058.0,11019683.0,13342006.0,10876574.0,11376357.0,12792499.0,11470576.0,11958206.0,13911638.0,13060024.0,12776844.0,12955068.0,13626249.0,14097535.0,10811337.0,14621405.0,13360940.0,11742863.0,13802934.0,
54,296.25847473765737,0.527725,height,,,,,,,,,,,414514800.0,260429340.0,205688080.0,429237100.0,770598200.0,515483650.0,345173100.0,441151550.0,190961980.0,280460000.0,684010000.0,188060380.0,377635260.0,441100480.0,415284800.0,394552160.0,432615000.0,460569860.0,463143300.0,414797760.0,268421860.0,671922700.0,222807420.0,
55,297.2616603484149,0.5277229,height,,,,,,,,,,,81711610.0,50934590.0,40461804.0,83881624.0,152945800.0,101606890.0,68643960.0,88551096.0,37032576.0,54546360.0,134569620.0,37102800.0,74974280.0,87117620.0,83210750.0,77485730.0,85767230.0,91846620.0,90390200.0,81694456.0,55393250.0,130635250.0,43741690.0,
56,279.232584021691,0.53007174,height,,,,,,,,,,,33023018.0,18057110.0,16916026.0,29195590.0,57129320.0,37220470.0,25009574.0,30111334.0,14995857.0,20407232.0,49468612.0,15695856.0,28251542.0,33050496.0,28934588.0,32815936.0,31057656.0,33032222.0,34394372.0,28558236.0,20144590.0,54249452.0,17902472.0,
57,298.2651562068056,0.52694017,height,,,,,,,,,,,7122389.0,5151932.0,5019616.0,6971766.5,10731106.0,7651158.0,6295395.5,6992584.0,3445840.2,4821339.0,10912709.0,3503280.5,7363979.0,8796516.0,6685132.5,6901439.0,7485926.5,8175721.5,8248089.0,7158843.0,5236370.5,10611053.0,3787125.0,
58,263.23720004956425,0.53242576,height,,,,,,,,,,,35270390.0,30935888.0,25441240.0,27708328.0,42020068.0,33611500.0,28952346.0,26551532.0,24337740.0,31649788.0,45374200.0,28801430.0,30188230.0,38763476.0,30190728.0,34067812.0,35798588.0,34639960.0,34453584.0,37327900.0,32109786.0,47318612.0,33142596.0,
59,293.23072574701104,0.53909326,height,,,,,,,,,,,9819977.0,6870131.5,5347868.0,8949140.0,19887404.0,11490173.0,7838219.5,9821221.0,4145574.0,5718794.5,23301634.0,3922824.2,9711020.0,12885025.0,8878604.0,9605316.0,11349143.0,9550488.0,9280392.0,10086230.0,5435274.5,18416440.0,5689780.0,
60,280.26409681332103,0.53359777,height,,,,,,,,,,,284514940.0,259626300.0,207572130.0,232239300.0,348120930.0,283065540.0,254352500.0,229649940.0,198380030.0,246923550.0,390460500.0,230384480.0,263077550.0,327716380.0,274253200.0,258971200.0,308007840.0,292379420.0,289286300.0,319669660.0,264751250.0,355955650.0,283431680.0,
61,281.26746721770513,0.53359777,height,,,,,,,,,,,56273124.0,50381484.0,39215660.0,45221520.0,68478360.0,54612180.0,50340536.0,45294396.0,39752076.0,47492516.0,77106130.0,44905284.0,48932644.0,64321436.0,53293664.0,51549412.0,59755256.0,57869508.0,55861624.0,62520796.0,50685976.0,69524300.0,55831332.0,
62,245.2265210720129,0.53399926,height,,,,,,,,,,,8206775.0,6681411.5,6027648.5,6286312.0,10525018.0,7919143.5,7055244.5,6429169.0,5795143.5,7691444.5,11412647.0,6955288.5,7374851.0,9806195.0,7577379.5,7867811.0,8109723.0,8150863.0,8146258.0,8861442.0,7301899.0,11872782.0,7485306.0,
63,278.24842597480006,0.53556955,height,,,,,,,,,,,24667536.0,33041578.0,25134898.0,17123462.0,17239352.0,20597892.0,23160844.0,16915242.0,23430128.0,27139346.0,19142674.0,30329642.0,23700058.0,28812988.0,24123550.0,23165612.0,28317478.0,25059076.0,24314422.0,32458242.0,30893520.0,21814982.0,39191332.0,
64,292.22736631191964,0.5367401,height,,,,,,,,,,,47571676.0,26900518.0,21537236.0,43002424.0,101475656.0,59621332.0,39763908.0,47375252.0,20966756.0,26419830.0,110317656.0,21635886.0,44274980.0,58289676.0,48246520.0,46705370.0,56157960.0,48712508.0,50411800.0,48327020.0,27702470.0,92976620.0,29424878.0,
65,268.22735527940887,0.5418707,height,,,,,,,,,,,25341830.0,17369326.0,13334580.0,25125064.0,50095388.0,34398860.0,23807912.0,27712714.0,11629520.0,16270020.0,53276720.0,12249162.0,23970512.0,31646766.0,26644710.0,23650120.0,29934656.0,25820514.0,30032114.0,27648632.0,15588643.0,43578704.0,14742299.0,
66,310.2377449215288,0.5489778,height,,,,,,,,,,,34694410.0,23912026.0,21667584.0,34647292.0,75033336.0,45908630.0,32068764.0,36449720.0,19952494.0,23116468.0,79858310.0,18337096.0,34654630.0,44385200.0,37282730.0,36742012.0,41132012.0,40435100.0,39666064.0,45882904.0,21638606.0,64343236.0,24159020.0,
67,314.2690010769141,0.56021494,height,,,,,,,,,,,17803982.0,12792211.0,8618398.0,13926452.0,25721584.0,17759968.0,12042347.0,15314985.0,9663535.0,10378054.0,23851510.0,10911469.0,16652067.0,17920284.0,15149639.0,18158530.0,18570518.0,15295484.0,15663721.0,21379930.0,10099611.0,23157426.0,16265908.0,
68,252.23248042498955,0.563337,height,,,,,,,,,,,16852010.0,12239943.0,7992269.5,13463627.0,22124546.0,16123343.0,12879452.0,14353232.0,8566528.0,9903379.0,22164618.0,9473806.0,15294800.0,16109268.0,13964306.0,16784562.0,16277839.0,13995430.0,14053791.0,19460250.0,7879630.0,20256698.0,9528994.0,
69,437.1932247863171,0.5633438,height,,,,,,,,,,,20904954.0,27158790.0,22330550.0,13499760.0,12097478.0,17911990.0,19529148.0,15866375.0,22470356.0,24334256.0,9729974.0,26250062.0,19018582.0,19824438.0,16050403.0,19095806.0,24110068.0,17089664.0,19204682.0,20784566.0,21489134.0,15552253.0,18370754.0,
70,326.2327758466524,0.61314696,height,,,,,,,,,,,6372817.5,3057842.5,2915604.0,5739069.5,8852075.0,6617943.0,3873603.2,6592824.0,2906263.5,3631067.8,10326875.0,2673837.0,5743308.0,5901881.0,5522001.5,0.0,6384362.0,6583483.5,5932773.0,0.0,3022876.5,0.0,3448612.5,
71,312.2533234580192,0.57005656,height,,,,,,,,,,,24340626.0,14395781.0,10939831.0,18498308.0,40453784.0,24124376.0,17865690.0,21638316.0,10483246.0,11008264.0,43974030.0,11662083.0,23160894.0,22809650.0,20358488.0,26591494.0,25353400.0,22238582.0,22825118.0,26755042.0,12159329.0,36178030.0,16681489.0,
72,135.080582223951,0.5715755,height,,,,,,,,,,,12227800.0,10463397.0,17486366.0,15352982.0,13795606.0,15027132.0,15469692.0,14888680.0,16468795.0,12162029.0,8980970.0,9605769.0,15620836.0,13559730.0,11416770.0,16227644.0,14954904.0,15377885.0,15911536.0,11679250.0,13387903.0,14636433.0,6960182.5,
73,432.2384832369401,0.57196575,height,,,,,,,,,,,594755140.0,558992640.0,845001600.0,688226400.0,675314560.0,739944400.0,776097400.0,686371100.0,872265340.0,589320700.0,449790000.0,514383520.0,764645900.0,638385540.0,599362200.0,841688800.0,767376960.0,708648500.0,831703900.0,553871360.0,689937700.0,684850200.0,341294140.0,
74,281.1388002743388,0.5723612,height,,,,,,,,,,,35777636.0,30588574.0,53411544.0,41944980.0,40760492.0,43495180.0,45967604.0,41964292.0,46603564.0,36508350.0,26743794.0,28373134.0,44826950.0,40216900.0,35580340.0,48659428.0,46839900.0,44499476.0,47601490.0,34475716.0,40904196.0,42112428.0,19934370.0,
75,397.2013616815222,0.57236016,height,,,,,,,,,,,11815872.0,10777281.0,16919298.0,13105049.0,12544040.0,13412283.0,13874985.0,13328519.0,15325954.0,12024420.0,7927395.0,9807247.0,13322533.0,13347340.0,10001959.0,14839048.0,14642178.0,14080559.0,14871103.0,11031676.0,12906709.0,13438767.0,6081854.0,
76,415.2122690735798,0.5727541,height,,,,,,,,,,,1132239600.0,982268100.0,1568121900.0,1234291600.0,1268202200.0,1337085700.0,1341213400.0,1253072600.0,1439565200.0,1136613000.0,803383000.0,909551400.0,1391140000.0,1291461800.0,1055989760.0,1489983000.0,1454561700.0,1380932100.0,1476528100.0,1049149700.0,1263204100.0,1259365100.0,635121150.0,
