row ID,row m/z,row retention time,intensity_measure,ion_mobility,ion_mobility_unit,ccs,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,20260424_CVOL_Group_01_11A.mzML Peak area,20260424_CVOL_Group_01_11B.mzML Peak area,20260424_CVOL_Group_01_11C.mzML Peak area,20260424_CVOL_Group_01_11D.mzML Peak area,20260424_CVOL_Group_01_4A.mzML Peak area,20260424_CVOL_Group_01_4B.mzML Peak area,20260424_CVOL_Group_01_4C.mzML Peak area,20260424_CVOL_Group_01_4D.mzML Peak area,20260424_CVOL_Group_01_8A.mzML Peak area,20260424_CVOL_Group_01_8B.mzML Peak area,20260424_CVOL_Group_01_8C.mzML Peak area,20260424_CVOL_Group_01_8D.mzML Peak area,20260424_CVOL_Group_01_QC_01.mzML Peak area,20260424_CVOL_Group_01_QC_02.mzML Peak area,20260424_CVOL_Group_01_QC_03.mzML Peak area,20260424_CVOL_Group_01_QC_04.mzML Peak area,20260424_CVOL_Group_01_QC_05.mzML Peak area,20260424_CVOL_Group_01_QC_06.mzML Peak area,20260424_CVOL_Group_01_WT_A.mzML Peak area,20260424_CVOL_Group_01_WT_B.mzML Peak area,20260424_CVOL_Group_01_WT_C.mzML Peak area,20260424_CVOL_Group_01_WT_D.mzML Peak area,20260424_CVOL_Group_01_blank.mzML Peak area,20260424_CVOL_bk_mapp_01.mzML Peak area,Unnamed: 37
11,318.94365470527185,0.47559816,height,,,,,,,,,,,7832769.5,7756347.5,7739050.0,8950507.0,8298839.5,8417541.0,7901475.5,8898724.0,8164413.5,7503791.5,8717870.0,8008853.5,8654255.0,9092359.0,9343102.0,7699487.0,8141798.0,7786071.0,9026261.0,8642205.0,8306966.5,9184041.0,11485991.0,0.0,
12,408.78765253633713,0.4787237,height,,,,,,,,,,,3831745.8,3989508.0,3862510.2,4118587.8,3765965.8,4027521.5,3730041.0,3670998.5,4312661.5,3908647.2,4217350.0,3770411.0,4575259.0,4625635.5,4037052.8,4217781.0,4326010.0,3885541.8,4095400.5,3948075.5,4080596.2,3705962.8,5006499.5,0.0,
13,363.7898645303061,0.4807012,height,,,,,,,,,,,12312537.0,13292142.0,12395832.0,13563391.0,12768319.0,12556087.0,13217576.0,12545042.0,13396015.0,12970922.0,14184543.0,13432745.0,13776441.0,15022687.0,14823698.0,12560323.0,14400898.0,13697010.0,13388897.0,12793459.0,13519098.0,12931062.0,16648529.0,0.0,
14,128.950982533484,0.48172536,height,,,,,,,,,,,1604494.0,1765257.9,1570986.0,1555706.4,1556588.8,1568560.1,1430934.6,1313084.4,1835864.6,1714801.1,1874836.4,1592257.0,1644103.0,2054379.4,1729510.5,1891545.1,1722733.5,1561156.5,1749318.2,1398370.2,1681310.1,1800030.8,2346569.8,521801.84,
15,481.7255947477197,0.48423553,height,,,,,,,,,,,5820126.5,6601166.5,6216356.5,6411216.0,6277558.5,6420898.5,6037652.5,5911580.0,6646276.5,5695296.0,6872588.5,6417910.0,6625217.5,7192748.0,6963404.5,5983583.5,7168062.5,6925013.0,7123013.5,5885363.5,6368842.0,6498179.0,8561513.0,0.0,
16,140.96204563406116,0.48505792,height,,,,,,,,,,,6142891.5,3794762.5,4133564.5,4281746.0,2767688.8,3559204.2,3048128.8,3280449.2,5464944.0,2785644.5,4996266.5,4253205.5,3784422.8,3974500.2,4374794.0,4022685.2,4482073.5,4588978.5,4911317.0,5012684.5,4044093.5,4215798.0,10011574.0,0.0,
17,143.95815040236036,0.47958115,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1594801.0,0.0,1724773.4,0.0,0.0,1614403.4,412591.72,1664393.8,1665476.4,429784.12,1754729.5,2001659.5,1847178.9,1358723.2,0.0,410525.97,1910266.1,2767124.5,0.0,
18,143.95688495328253,0.48975754,height,,,,,,,,,,,1602394.9,1700890.9,1713104.5,1524120.2,1307805.4,1758444.1,1416964.6,2061699.6,2198419.8,1523677.6,1670828.4,2007250.6,1770886.2,1882409.9,1936658.4,1927069.8,2107603.2,1933971.2,1956671.9,1800982.2,1601633.2,1900170.8,2529837.5,0.0,
19,142.96178302240932,0.48613462,height,,,,,,,,,,,18136976.0,17518608.0,17434912.0,15996481.0,14893105.0,17098642.0,15637439.0,15883873.0,20448160.0,15167984.0,17769834.0,17871174.0,17824838.0,18224690.0,18873590.0,18199746.0,18983580.0,19539848.0,19773550.0,18268128.0,15087986.0,17443620.0,25046778.0,142165.9,
20,142.95905249979242,0.48862454,height,,,,,,,,,,,11499268.0,11148415.0,11344890.0,10622712.0,9896117.0,10710495.0,10260540.0,10108408.0,12956872.0,10110579.0,11171710.0,11456969.0,11348769.0,12420015.0,11807765.0,11690831.0,12323250.0,12528620.0,12530531.0,12308605.0,10516403.0,12517162.0,15802035.0,0.0,
21,139.96353429552258,0.4886826,height,,,,,,,,,,,37933096.0,36103584.0,35990560.0,34088256.0,31704204.0,35389400.0,32923366.0,32689438.0,45101868.0,30954620.0,37134716.0,37223452.0,36867012.0,38426824.0,38920736.0,37335440.0,40629068.0,40672120.0,41407800.0,37437212.0,33119128.0,37341736.0,51368924.0,303123.03,
22,143.96265551563553,0.4874362,height,,,,,,,,,,,2844851.5,2832101.2,2523660.0,2345805.5,2263752.2,2544427.8,2595310.8,2168196.2,3379175.0,2370858.5,2947769.8,2825225.0,3145005.2,3174631.2,2793599.0,2828802.8,2968324.8,2951879.0,3349239.2,2943598.0,2736610.5,2609347.8,4103837.5,0.0,
23,180.98994588323868,0.4890549,height,,,,,,,,,,,7326812.5,6685928.0,6615651.0,6088395.0,5432482.0,6252424.5,5677784.0,5936516.5,8128882.0,5504562.5,6206976.0,6708669.0,6389313.5,6218404.5,6652713.5,6319592.5,6919658.0,7412207.5,7030082.0,6786557.5,5958688.0,6612849.5,9218011.0,0.0,
24,236.87802195825932,0.4901315,height,,,,,,,,,,,6019322.0,6673541.0,5623373.5,5368060.5,5328213.0,5330696.0,4837439.0,5196335.0,7382849.5,5236892.5,6071928.0,6528551.5,6408333.5,6757811.0,6305440.0,6809134.5,7130927.5,6895308.0,7407184.0,5410055.0,5952685.5,6477533.5,8985289.0,0.0,
25,157.97405276355127,0.48772416,height,,,,,,,,,,,3233410.2,3345477.8,3362034.2,3247550.2,2984422.5,3402333.2,3043084.0,3184355.0,3873449.8,2983078.5,3379933.2,3359610.8,3597586.5,3670105.0,3222884.5,3670794.5,3673649.8,3507988.0,3402824.8,3671315.5,3021596.8,3117322.0,4858380.0,134030.23,
26,245.8652327123411,0.49054864,height,,,,,,,,,,,3552281.0,2409033.5,2449700.0,2984102.5,1786607.4,2271324.2,1986783.4,2485159.8,3848549.0,2113846.5,3126928.8,2893400.8,2313309.8,3302098.5,3319285.8,2556162.0,3172626.8,3537062.2,3383800.0,2777094.0,2716684.0,2992074.0,7358023.0,0.0,
27,305.8994842497664,0.49136811,height,,,,,,,,,,,27340286.0,28685594.0,28912488.0,24887034.0,26430754.0,31270230.0,27319958.0,26070394.0,31442750.0,25409452.0,26599928.0,27907952.0,30015930.0,29590206.0,33583504.0,29621786.0,33031260.0,32344786.0,33536592.0,29215882.0,26840244.0,31497436.0,45305656.0,0.0,
28,286.8916055086967,0.49178115,height,,,,,,,,,,,6324092.5,4517466.0,4742739.0,4700069.0,2951296.2,3721018.5,3380140.0,3834165.2,5926231.0,3518985.2,4847963.0,5123415.5,4087367.5,4585128.5,5182600.0,4109351.8,5216195.5,5736641.0,6149265.5,5206413.5,4573534.5,4782834.0,11974334.0,0.0,
29,282.88375712454945,0.49178588,height,,,,,,,,,,,5156854.0,5249256.5,4564117.5,4039293.0,4867580.0,4733009.5,4525974.0,4975907.5,5223537.5,4549618.0,4873059.5,5174984.0,5603003.5,5733895.5,5699184.5,6321088.5,6010291.5,5644020.0,6026962.5,5111639.5,5062147.0,5348295.5,8674945.0,0.0,
30,262.8777707027149,0.49215317,height,,,,,,,,,,,11632771.0,12348393.0,10675959.0,10647284.0,10017621.0,10777039.0,9890323.0,10050284.0,13551047.0,10203418.0,11584449.0,11830584.0,10793641.0,13989736.0,13028883.0,12166108.0,13120319.0,14069730.0,13690581.0,11246354.0,10750750.0,12445238.0,17254584.0,0.0,
31,214.9124926730397,0.49371797,height,,,,,,,,,,,6983109.0,8851265.0,9495910.0,9760179.0,7460989.0,8522509.0,10004923.0,8001741.0,10733180.0,10154586.0,9459894.0,10688553.0,6510468.0,9012653.0,9276367.0,7167323.0,8604284.0,9438488.0,6844056.0,7495210.5,6781039.0,7512250.0,335425.88,0.0,
32,287.888903586701,0.49257004,height,,,,,,,,,,,206490690.0,208102110.0,205078200.0,193705630.0,162030660.0,195618200.0,179274850.0,174846460.0,237972800.0,163215460.0,188296350.0,211593200.0,190707840.0,206985700.0,227035330.0,186244590.0,228355280.0,247131250.0,246564300.0,198297020.0,181144930.0,213157180.0,303139420.0,0.0,
33,232.9231073561805,0.49290952,height,,,,,,,,,,,10580006.0,16080618.0,15288095.0,14313031.0,13670594.0,12748928.0,15155098.0,12842451.0,16825100.0,16134107.0,16050760.0,18351114.0,12107273.0,14324415.0,13582796.0,12918365.0,14681475.0,15688313.0,11966277.0,11848823.0,11416978.0,11678397.0,539126.06,0.0,
34,244.8672548201068,0.49332026,height,,,,,,,,,,,25841872.0,25612332.0,25760352.0,25570004.0,21084260.0,23426550.0,23856276.0,22849122.0,31007858.0,22959312.0,25502356.0,25408078.0,22793626.0,30505222.0,30420088.0,24879252.0,29355506.0,31364776.0,30714702.0,23902694.0,23410450.0,28707940.0,39125384.0,0.0,
35,246.86240469431644,0.49332324,height,,,,,,,,,,,197802140.0,197499920.0,193184270.0,200848850.0,160668340.0,183246560.0,182137170.0,175796660.0,240009310.0,173702540.0,200287060.0,204059780.0,180919360.0,236735940.0,234522540.0,194774930.0,229467710.0,246480510.0,232502510.0,184340830.0,185830480.0,218012620.0,301545280.0,0.0,
36,259.8941749099565,0.49335256,height,,,,,,,,,,,12878640.0,12597539.0,12602709.0,11793053.0,9911259.0,11466770.0,11178629.0,11073950.0,14294915.0,10003693.0,11838314.0,12919350.0,11703026.0,13667680.0,13655339.0,11854633.0,14368954.0,15528879.0,15888386.0,11938811.0,12028397.0,13156569.0,17512120.0,0.0,
37,328.91540686090894,0.4933607,height,,,,,,,,,,,16290999.0,15990800.0,15627158.0,14631470.0,12854906.0,16310357.0,13447569.0,14071216.0,18869354.0,11492964.0,13898499.0,16810586.0,15850845.0,15725873.0,17214992.0,14955390.0,17614984.0,18421270.0,18953618.0,16155615.0,14497100.0,15401034.0,23675248.0,0.0,
38,218.8675427637,0.49372756,height,,,,,,,,,,,10944608.0,11016010.0,11304789.0,11308821.0,9064890.0,10181837.0,9865443.0,9931672.0,13463748.0,9380146.0,11152898.0,11639743.0,9839172.0,12620712.0,12251036.0,10831736.0,12687237.0,13659316.0,12866783.0,10253145.0,10141977.0,12458684.0,16692081.0,0.0,
39,264.87299818106044,0.49373093,height,,,,,,,,,,,89517900.0,92148790.0,87291390.0,82678460.0,77063310.0,83521890.0,80117580.0,79140330.0,105938260.0,79846390.0,90413070.0,91888170.0,90583890.0,103955450.0,100821320.0,94172690.0,105899230.0,106939040.0,107126280.0,82016450.0,85078264.0,97172970.0,132522696.0,0.0,
40,285.8938326483946,0.49373457,height,,,,,,,,,,,26427982.0,26365050.0,26638892.0,24752024.0,20445710.0,23985122.0,23224176.0,22126304.0,30533358.0,20172308.0,23384622.0,26612222.0,24183236.0,26504502.0,28346936.0,24088468.0,29575056.0,30792286.0,31336710.0,25274936.0,23309262.0,27165772.0,38721172.0,0.0,
41,255.939095572398,0.49409848,height,,,,,,,,,,,18704896.0,24596902.0,24517424.0,22497828.0,19511872.0,20091334.0,24071616.0,19503600.0,23844260.0,22158160.0,23072858.0,28426018.0,17325314.0,19327798.0,20517846.0,18135784.0,22051396.0,24478810.0,18474828.0,19499564.0,17858070.0,17402416.0,665226.7,0.0,
42,161.9733414096688,0.49261802,height,,,,,,,,,,,0.0,393186.88,441707.28,0.0,0.0,558618.1,417649.7,410043.2,536777.9,326502.97,520029.44,510704.56,449669.47,566490.7,544675.8,561171.94,539091.5,487476.44,511290.22,455634.2,459246.78,529745.1,573204.7,0.0,
43,318.7921873951274,0.49568546,height,,,,,,,,,,,21152052.0,22918840.0,21834568.0,20693386.0,19495392.0,22958186.0,20618750.0,20505330.0,28322518.0,19614376.0,20874366.0,22678394.0,22619880.0,24454226.0,24341288.0,22158476.0,26169896.0,26920364.0,26800378.0,20215260.0,20171116.0,23645838.0,33076128.0,0.0,
44,230.89013958769823,0.49727842,height,,,,,,,,,,,7498248.5,8606637.0,8732920.0,7583934.5,2678508.5,3452121.8,3601484.0,3346131.2,7511465.5,10513592.0,11203904.0,10983131.0,6724276.0,7367128.0,7557742.0,6290682.5,7847545.5,8202036.0,9506848.0,8255959.5,8011777.5,8553161.0,3904054.5,0.0,
45,464.722824508734,0.4980888,height,,,,,,,,,,,9720886.0,10351075.0,9690532.0,8944066.0,8687800.0,10993167.0,9354713.0,9332322.0,13829667.0,8804927.0,9157377.0,10198639.0,10880738.0,11181389.0,11343966.0,9976761.0,12797171.0,13438326.0,13179102.0,9544092.0,9541227.0,10529702.0,15778667.0,0.0,
46,143.15411554069038,0.4973343,height,,,,,,,,,,,9721672.0,12184494.0,11851031.0,10855978.0,292365.22,372227.12,357963.12,354648.97,11298878.0,11266507.0,10957821.0,13300506.0,7472265.5,7776222.0,8187971.0,7684773.0,7838845.5,7963159.5,9168416.0,9621723.0,10037901.0,10000487.0,0.0,0.0,
47,336.8027404303959,0.49845156,height,,,,,,,,,,,5980789.5,6448214.5,6921282.5,5747906.0,5844284.5,7045305.0,5855049.5,6183839.5,7248439.0,5231789.0,5739503.5,6319949.0,6241674.0,6888397.5,7321817.5,6626034.0,6853269.5,8024528.5,8436394.0,5930003.0,6065872.5,6333399.5,8908469.0,0.0,
48,582.658231966376,0.49884742,height,,,,,,,,,,,4443223.0,4568516.5,4176660.2,4197603.0,4094071.0,5471940.0,4437842.0,4304516.0,6268673.0,3660608.2,3803522.5,4825153.5,4901781.5,5700618.0,5569131.0,4965712.0,6053152.0,5918240.0,6038468.0,4331395.0,4563961.0,5203192.5,7913364.0,0.0,
49,288.89101780529904,0.49178794,height,,,,,,,,,,,19890454.0,16628231.0,16756993.0,16751780.0,12827346.0,15725086.0,15519734.0,17437404.0,19584818.0,13217787.0,15502085.0,18072340.0,17716450.0,18702796.0,17747572.0,17332364.0,20487276.0,21800654.0,22458564.0,16559829.0,16094959.0,16825068.0,25852668.0,0.0,
50,129.1388265771929,0.5008778,height,,,,,,,,,,,9287909.0,10042016.0,9164068.0,8135643.5,317455.38,387598.7,433532.44,317647.5,12240444.0,6238444.0,7143410.0,8702571.0,6257587.5,6143204.5,6152402.0,6095531.0,6374118.5,6323281.0,9192463.0,9684708.0,9892991.0,9217346.0,0.0,0.0,
51,147.11275496040776,0.5034462,height,,,,,,,,,,,855839.4,762033.56,760587.9,618513.7,2546745.5,3231649.2,3487083.2,3430503.0,757656.2,867948.3,944353.9,1485017.9,1301385.1,1418812.6,1567948.5,1395943.5,1384944.2,1328636.5,603754.3,528497.4,610825.9,598736.6,0.0,0.0,
52,158.00302370441895,0.43736625,height,,,,,,,,,,,273921.8,278127.47,258041.36,271308.5,238357.72,0.0,247396.27,245415.77,270815.8,260503.62,261901.17,253090.64,276225.34,282444.9,264683.44,266972.88,284477.06,248755.16,257185.39,252511.88,255315.4,261918.33,263145.3,438547.66,
53,126.12795799513502,0.50965524,height,,,,,,,,,,,37314300.0,40215716.0,37045576.0,36037810.0,1566339.4,1523621.5,1384208.5,1469547.2,37812110.0,40927900.0,34289904.0,43746090.0,29414602.0,28293012.0,26593840.0,28303434.0,27857292.0,28053060.0,33854124.0,33968308.0,35547680.0,32857242.0,0.0,0.0,
54,715.895396824207,0.51132685,height,,,,,,,,,,,0.0,0.0,0.0,0.0,15160552.0,15375930.0,14728617.0,11330842.0,0.0,0.0,0.0,0.0,2287412.8,1745698.0,1522685.6,1447313.4,1685912.2,1907211.5,0.0,0.0,0.0,0.0,0.0,0.0,
55,189.0322633645486,0.5159447,height,,,,,,,,,,,494635.62,361999.3,340525.53,390918.62,10123057.0,8234204.0,10765470.0,8941081.0,405334.97,365717.12,343771.66,525266.9,2396654.5,2045559.9,2157503.5,2081269.8,2516488.5,1996798.2,350840.84,419471.06,443870.44,356714.53,0.0,0.0,
56,146.16521413848545,0.5189834,height,,,,,,,,,,,53826936.0,56302330.0,49133320.0,42624076.0,2755516.0,2971272.0,3135496.5,2595839.5,65389724.0,35231024.0,38518624.0,48404076.0,34975404.0,34718932.0,37820790.0,35380948.0,36550564.0,34307784.0,54703856.0,57977890.0,61360356.0,56424490.0,0.0,0.0,
57,669.9044352096452,0.5218612,height,,,,,,,,,,,0.0,0.0,0.0,0.0,8014792.0,5529545.5,7265530.5,5106544.5,0.0,0.0,0.0,0.0,583799.5,616710.1,427093.53,445702.06,433870.44,371871.1,0.0,0.0,0.0,0.0,0.0,0.0,
58,161.18408333361177,0.5224031,height,,,,,,,,,,,13930006.0,13828792.0,13244655.0,12177376.0,739022.56,573493.44,603654.25,628357.94,12498941.0,14475154.0,12676620.0,14577373.0,10399590.0,10770674.0,10686840.0,10728619.0,11511935.0,9917770.0,11734829.0,12802072.0,14033729.0,12226419.0,0.0,0.0,
59,423.0626037503709,0.52195656,height,,,,,,,,,,,0.0,0.0,0.0,0.0,17066944.0,10822062.0,15658409.0,10328116.0,0.0,0.0,0.0,0.0,600770.94,767635.75,725497.8,758830.0,652128.75,625521.0,0.0,0.0,0.0,0.0,0.0,0.0,
60,668.9023296774133,0.52195656,height,,,,,,,,,,,0.0,0.0,0.0,0.0,35444730.0,24247032.0,32072212.0,22343000.0,0.0,0.0,0.0,0.0,2031345.5,2065813.6,2067405.2,1903218.4,2025051.4,1969224.1,0.0,0.0,0.0,0.0,0.0,0.0,
61,670.8976634254992,0.52195656,height,,,,,,,,,,,0.0,0.0,0.0,0.0,138279310.0,96170640.0,127847240.0,89238380.0,0.0,0.0,0.0,0.0,8331264.0,7856727.0,7765798.0,7956701.0,7899421.5,7141174.0,0.0,0.0,0.0,0.0,0.0,0.0,
62,314.8497617549467,0.52745515,height,,,,,,,,,,,7521074.0,6141221.0,5532209.0,4956626.5,4871712.0,4599029.0,4652469.0,4211207.0,5382344.5,5524959.5,5250322.0,5204811.5,5514789.0,5814716.5,5979818.0,6168450.0,5641237.5,4874297.0,6475398.5,6468969.0,7581522.0,7064213.5,144380.61,0.0,
63,160.18087643760447,0.5254196,height,,,,,,,,,,,162204260.0,166656770.0,148175980.0,141291170.0,7380144.0,6520366.5,6983041.5,6943744.0,137016020.0,163757900.0,144274240.0,168832420.0,118914610.0,124579960.0,122651310.0,123743010.0,130789460.0,112053130.0,135995800.0,148531650.0,160290450.0,144345390.0,0.0,0.0,
64,372.9394920466813,0.52666676,height,,,,,,,,,,,0.0,0.0,0.0,0.0,5919043.0,4164537.2,5706134.0,3546643.8,0.0,0.0,0.0,0.0,653982.5,765087.9,806518.25,731756.25,634195.5,601391.2,0.0,0.0,0.0,0.0,0.0,0.0,
65,257.0196582761159,0.5280066,height,,,,,,,,,,,901010.25,936165.2,732968.2,683499.25,17185170.0,13108511.0,16668345.0,12469066.0,500736.8,977675.75,719170.3,762686.1,3835022.0,4031085.8,4203628.0,4124759.5,3833637.2,3325904.2,660663.56,819279.56,1013525.2,834573.5,0.0,0.0,
66,272.99355840751645,0.52885956,height,,,,,,,,,,,467769.25,399927.25,375540.47,525830.5,6726392.0,5193004.5,7149580.5,5013009.0,433209.66,387347.44,489879.1,399963.16,2125033.5,2323027.5,2321142.2,2375721.0,1851272.0,1756507.2,409565.7,541623.44,475152.0,401951.2,0.0,0.0,
67,382.8373119889286,0.53059155,height,,,,,,,,,,,4551579.5,3727964.8,3197546.8,2710626.0,3228144.5,2454935.8,2910500.8,2425876.8,2044115.4,3933038.2,2656606.0,2949385.0,2888560.8,3155628.5,3503528.8,3446902.0,2984922.2,2480333.0,3848705.8,3734976.2,4534927.0,4419484.0,0.0,0.0,
68,174.1601925140018,0.5326211,height,,,,,,,,,,,9023829.0,3617419.5,4504085.0,5515026.0,201943.08,0.0,172871.47,239458.27,9069919.0,3324212.5,5492314.0,4345422.0,3868581.2,4445750.5,3882145.0,4094496.0,4231410.0,3815788.0,6321655.0,5960313.5,5816843.5,5148882.0,0.0,0.0,
69,236.90695340495188,0.53533465,height,,,,,,,,,,,4754391.0,4680324.0,4469578.0,3360999.5,4283035.0,3198904.0,4178387.2,2891828.2,2507342.2,5877837.5,3241537.2,3591108.0,3516636.5,4456081.5,4385402.5,4437347.0,3695985.2,3430401.0,4246403.5,4687282.5,4888738.5,5299925.5,0.0,0.0,
70,320.86831925695145,0.53618646,height,,,,,,,,,,,3791565.5,3912834.0,3408097.2,3207172.0,2548066.8,1941065.5,2617511.5,1750077.4,2182458.0,5034388.5,3387152.5,3438748.2,2484090.0,2801152.5,3053435.5,3133146.2,2378544.8,2358033.2,3281926.2,3391467.0,3853292.5,3798921.0,0.0,0.0,
71,413.0337493806034,0.54274243,height,,,,,,,,,,,0.0,0.0,0.0,0.0,4991530.5,4319576.0,5460081.5,4214871.0,0.0,0.0,0.0,0.0,342523.12,317037.72,400066.66,328817.28,307109.7,339833.56,0.0,0.0,0.0,0.0,0.0,0.0,
72,660.8687159203853,0.5418135,height,,,,,,,,,,,0.0,0.0,0.0,0.0,7806614.0,7346546.0,8004657.5,8980282.0,0.0,0.0,0.0,0.0,249214.88,414591.3,372335.97,406523.1,360002.28,315209.28,0.0,0.0,0.0,0.0,0.0,0.0,
73,246.99073386926207,0.54983115,height,,,,,,,,,,,242084.77,317698.9,212018.39,159571.62,4355471.5,3591665.0,4495873.0,3379428.2,0.0,228053.17,0.0,223661.92,1191482.1,1111591.1,1265090.8,1376114.2,1157472.5,1179814.1,170684.02,266519.25,190116.58,228742.94,0.0,0.0,
74,188.1758417570741,0.5532794,height,,,,,,,,,,,7817899.5,4201636.5,4374157.0,5797888.5,181961.38,212610.4,188419.4,211527.33,6462666.5,3614586.8,6174140.5,4617279.0,4448329.0,4743977.0,4443636.5,4591166.0,4776071.0,4226649.0,5250801.0,5221085.0,5391865.0,5158917.5,0.0,0.0,
75,156.0421591524554,0.5587196,height,,,,,,,,,,,2514329.2,2072574.0,1856594.4,1801614.4,747012.94,724194.8,827987.7,504163.62,2788737.0,3098326.5,1955562.5,1648669.9,1729241.1,1767888.9,1772805.4,1714395.6,1642943.2,1334258.5,2665084.8,2436094.8,2974906.8,2587652.8,0.0,0.0,
76,294.86376479722105,0.5608517,height,,,,,,,,,,,3605607.5,4192579.2,3075134.2,3617544.2,3419926.0,3067646.5,3412754.2,3341104.8,4540020.5,4629362.5,3572358.8,2964419.5,3717995.8,3501617.5,3619680.5,3770571.8,3734611.5,3163336.0,3495632.0,3998992.8,4031917.5,4043003.5,173136.53,0.0,
